Title,Content,"Accession Number","Permanent Location","Display Location","Alternative Name",Unidentified,"Primary Materials",Markings,"Dimensions (cm)",Function,Condition,"Associated Instruments",Manufacturer,"Date of Manufacture",Provenance,"Previous Accession Number(s)","Additional Information and References",Owner,"Current Status","Examined By","Used at UofT","Donated to UTSIC","Date Last Examined","Date Last Updated","Historical Notes","NOT publically visible (if clicked, also set visibility to","Notes (private)",Themes,Permalink,"Publication Status"
"Dalton Dead Reckoning Computer Model G","This is a metal instrument shaped like a rectangular box. On the top, it has a flat metal plate that is affixed to the box below by a hinge along one edge. When flapped down, this plate sits horizontally over the top of the box. On the plate, there is a circular metal disk with a non-linear scale around the rim, labelled in ""Minutes"" and ""Km Minutes"". There is a circular scale on the metal plate around the edge of the disk; this is labelled in ""True Alt."" ""Miles"" and ""True A.S."". On the interior of the disk, there are two arc-shaped holes each with short scales drawn on the disk above or below the arc; one of these has a small raised section, to allow better grip for the disk, which can be rotated around a central pin (the other three raised sections have been broken off). These scales permit conversion from ""Air Temp. Centigrade"" to ""Ind. Height Thousand Feet"" and the reverse.

This plate flaps up to reveal the rectangular box-shaped instrument underneath. It consists of a top metal plate with a circular hole in it. This is covered by a plastic window. Visible through the window there is a red grid pattern printed on a paper or fabric sheet. This can be moved up and down along its x-axis by turning a ridged knob on one side of the box. Around the edge of the window on a silver-coloured circular rim there is a scale graduated in degrees, and with cardinal directions indicated. This rim can be rotated by turning a ridged metal handle on one side of the box.

On one edge of this rotating disk, there is an arc-shaped section with a scale along the bottom edge, graduated in units from 0 in the centre to 40 on each side. One side of this is labelled ""Drift Port Var. East"" and the other ""Var. West Drift Strbd"". In the centre of this arc, pointing towards the rotating circle there is an indicator arrow labelled ""True Course"".

Attached to one side of the box there is a hollow cylindrical tube. On the underside of the flat top, there are two plastic rods for holding something flat.

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ast.187,"MPL-A 1.D.7",,,0,"Metal: Iron Alloy, Metal: Aluminum, Card, Textile (Grid).","Engraved and enamelled on the lid: ""I.C.A.N.
CALIBRATION""

Written in yellow on the lid: ""6B/425""

Written in pencil on the lid: ""6B/48""

Engraved and enamelled next to the grid window: ""DALTON DEAD RECKONING COMPUTER
MODEL G
STANLEY MANUFACTURING CO. LIMITED
TORONTO, CANADA""

On the base: ""X.Y.5928""

Scratched into the base: ""↑
R.C.A.F.""","Height = 3.5, Width = 16, Length = 16.","The Dalton Dead Reckoning Computer is a mechanical calculator designed to aid with flight planning, including (according to the Wikipedia page on the similar &amp;lt;a href=""https://en.wikipedia.org/wiki/E6B""&amp;gt;E6B&amp;lt;/a&amp;gt;) ""fuel burn, wind correction, time en route, and other items.""","Good: The instrument's surface shows some evidence of use. There are some scratches on the top of the box, and three of the raised lips to allow the rotation of the disk on the lid have been broken off. The black paint on the main section of the base is chipped in places and worn on the edges of the disks. 

The hinges of the lid are in good condition. The continuous rotating grid inside the instrument does rotate when the knob is turned but is very stiff and likely extremely delicate. The knob that turns the circular scale is also stuff; the circular scale and the surface of the box is dulled and corroded. The plastic window covering is in good condition, although very dirty with grey dust possibly from the degrading paint. The grid inside is somewhat warped and rippling.

The cardboard label normally found with these Dalton Computers is missing.",,"Stanley Manufacturing Co. Limited, Toronto, Canada","c. 1939-1946","This artifact was purchased as surplus following WWII and may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory, possibly as a slide rule. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"Department of Astronomy &amp;amp; Astrophysics","In storage","Victoria Fisher",0,0,2019-10-11,2019-12-09,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13321,pending
"Dalton Dead Reckoning Computer Model G","This is a metal instrument shaped like a rectangular box. On the top, it has a flat metal plate that is affixed to the box below by a hinge along one edge. When flapped down, this plate sits horizontally over the top of the box. On the plate, there is a circular metal disk with a non-linear scale around the rim, labelled in ""Minutes"" and ""Km Minutes"". There is a circular scale on the metal plate around the edge of the disk; this is labelled in ""True Alt."" ""Miles"" and ""True A.S."". On the interior of the disk, there are two arc-shaped holes each with short scales drawn on the disk above or below the arc; the ends of these have a small raised section, to allow a better grip for the disk, which can be rotated around a central pin. These scales permit conversion from ""Air Temp. Centigrade"" to ""Ind. Height Thousand Feet"" and the reverse.

This plate flaps up to reveal the rectangular box-shaped instrument underneath. It consists of a top metal plate with a circular hole in it. This is covered by a plastic window. Visible through the window there is a red grid pattern printed on a paper or fabric sheet. This can be moved up and down along its x-axis by turning a ridged knob on one side of the box. Around the edge of the window on a silver-coloured circular rim there is a scale graduated in degrees, and with cardinal directions indicated. This rim can be rotated by turning a ridged metal handle on one side of the box.

On one edge of this rotating disk, there is an arc-shaped section with a scale along the bottom edge, graduated in units from 0 in the centre to 40 on each side. One side of this is labelled ""Drift Port Var. East"" and the other ""Var. West Drift Strbd"". In the centre of this arc, pointing towards the rotating circle there is an indicator arrow labelled ""True Course"".

Attached to one side of the box there is a hollow cylindrical tube. On the underside of the flat top there are two plastic rods for holding something flat; tucked into these, there is a brown card tag, with a reinforced hole punched at one end. The tag is two-sided and has spaces for information about the instrument and, on the other side, its calibration. The information side has been filled out by hand.

On the rear, there are four round holes in the backplate. Through them, the internal rolling grid is visible.

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ast.188,"MPL-A 1.D.7",,,0,"Metal: Iron Alloy, Metal: Aluminum, Plastic, Card, Textile (Grid).","Engraved and enamelled on the lid: ""I.C.A.N.
CALIBRATION""

Engraved and enamelled next to the grid window: ""DALTON DEAD RECKONING COMPUTER
MODEL G
STANLEY MANUFACTURING CO. LIMITED
TORONTO, CANADA""

Printed/written on the paper label: ""RETAIN THIS TAG""
""Section…6-B Ref No….425 Part. No…. 
Description…Computor Navigations
Type ""G""
Serial No…. O'Hauled by…
Unit…I-E D Date…17/10/46 Remarks…
Visual Inspection
Certified Serviceable… Date…""
""R.C.A.F.- W H
300M-10-42(2841)
H.Q.--885 - W 11""
""To be used with all instruments, etc.
subject to calibration or checking before issue.
Ensure all information required is entered.""

Stamped over this: ""R.C.A.F.
↑
581""

“TO BE WITH ARTICLE
RETURNED AT OVERHAUL”
“Running Time Since New”
“CALIBRATION”
""Running Time Since O'Haul...
Installed in... Date...
Returned for O'Haul... Reason...
Unit...
Signature and Rank...""

On the base: ""X.Y. 7418""","Height = 3.5, Width = 16, Length = 16.","The Dalton Dead Reckoning Computer is a mechanical calculator designed to aid with flight planning, including (according to the Wikipedia page on the similar &amp;lt;a href=""https://en.wikipedia.org/wiki/E6B""&amp;gt;E6B&amp;lt;/a&amp;gt;) ""fuel burn, wind correction, time en route, and other items.""","Good: The top plate of the instrument is dented along the hinge line as if at some point something heavy compressed the top. There are scratches across the surface of the top. The black paint is chipped and worn off over the lower part of the box, particularly on the edges, corners and from the knobs. There is wear on the rear of the box suggesting that it sat on a flat surface and patches of white reside around each of the four holes on the base.

The hinges of the lid are in good condition, although slightly warped from the denting described above. The continuous rotating grid inside the instrument functions well, and the knob that operates the rotating circle works but is very stiff. The plastic window covering is slightly scratched and has some residual pencil marks on the surface. The cardboard label is bent but in good condition.",,"Stanley Manufacturing Co. Limited, Toronto, Canada","c. 1939-1946","This artifact was purchased as surplus following WWII and may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory, possibly as a slide rule. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"Department of Astronomy &amp;amp; Astrophysics","In storage","Victoria Fisher",1,0,2019-10-11,2019-12-09,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13322,pending
"Dalton Dead Reckoning Computer Model G","This is a metal instrument shaped like a rectangular box. On the top, it has a flat metal plate that is affixed to the box below by a hinge along one edge. When flapped down, this plate sits horizontally over the top of the box. On the plate, there is a circular metal disk with a non-linear scale around the rim, labelled in ""Minutes"" and ""Km Minutes"". There is a circular scale on the metal plate around the edge of the disk; this is labelled in ""True Alt."" ""Miles"" and ""True A.S."". On the interior of the disk, there are two arc-shaped holes each with short scales drawn on the disk above or below the arc; the ends of these have a small raised section, to allow a better grip for the disk, which can be rotated around a central pin. These scales permit conversion from ""Air Temp. Centigrade"" to ""Ind. Height Thousand Feet"" and the reverse.

This plate flaps up to reveal the rectangular box-shaped instrument underneath. It consists of a top metal plate with a circular hole in it. This is covered by a plastic window. Visible through the window there is a red grid pattern printed on a paper or fabric sheet. This can be moved up and down along its x-axis by turning a ridged knob on one side of the box. Around the edge of the window on a silver-coloured circular rim there is a scale graduated in degrees, and with cardinal directions indicated. This rim can be rotated by turning a ridged metal handle on one side of the box.

On one edge of this rotating disk, there is an arc-shaped section with a scale along the bottom edge, graduated in units from 0 in the centre to 40 on each side. One side of this is labelled ""Drift Port Var. East"" and the other ""Var. West Drift Strbd"". In the centre of this arc, pointing towards the rotating circle there is an indicator arrow labelled ""True Course"".

Attached lengthways to one side of the box there is a hollow cylindrical tube. On the underside of the flat top, there are two plastic rods for holding something flat.

Lying loose between the top plate and the rotating circle--but attached to the instrument with a loop of cotton string--there is a brown card tag, with a reinforced hole punched at one end. The tag is two-sided and has spaces for information about the instrument and, on the other side, its calibration. The information side has been filled out by hand.

On the rear, there are four round holes in the backplate. Through them, the internal rolling grid is visible.

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ast.189,"MPL-A 1.D.7",,,0,"Metal: Iron Alloy, Metal: Aluminum, Card, Textile (Grid).","Engraved and enamelled on the lid: ""I.C.A.N.
CALIBRATION""

Engraved and enamelled next to the grid window: ""DALTON DEAD RECKONING COMPUTER
MODEL G
STANLEY MANUFACTURING CO. LIMITED
TORONTO, CANADA""

Printed/written on the paper label: ""RETAIN THIS TAG""
""Section…6-B Ref No….&amp;lt;s&amp;gt;148&amp;lt;/s&amp;gt;425✓ Part. No…. 
Description…Computer Dalton
Serial No….XY7230 O'Hauled by…LAC George O.Y.
Unit…#11 E.D. Date…5 Jan 45 Remarks…
O'hauled &amp;amp; Painted
Certified Serviceable…No 11 E.D. F.R.S. Date…
A.I.D. ________ No. 2""
""R.C.A.F.- W H
300M-10-42(2841)
H.Q.--885 - W 11""
""To be used with all instruments, etc.
subject to calibration or checking before issue.
Ensure all information required is entered.""

“TO BE WITH ARTICLE
RETURNED AT OVERHAUL”
“Running Time Since New”
“CALIBRATION”
""Running Time Since O'Haul...
Installed in... Date...
Returned for O'Haul... Reason...
Unit...
Signature and Rank...""

On the rear: ""X.Y.7230""","Height = 3.5, Width = 16, Length = 16.","The Dalton Dead Reckoning Computer is a mechanical calculator designed to aid with flight planning, including (according to the Wikipedia page on the similar &amp;lt;a href=""https://en.wikipedia.org/wiki/E6B""&amp;gt;E6B&amp;lt;/a&amp;gt;) ""fuel burn, wind correction, time en route, and other items.""","Good: The instrument is scratched on the metal lid; however, the black paint is in very good condition (having apparently been repainted in 1945). There is damage to the edge of the lid by the hinge where the word ""CALIBRATION"" is partly scratched off. There is very slight wear in the paint on the edges of the base of the box suggesting that it sat on a flat surface and slight wear on the dials.

The hinges of the lid are somewhat rust. The continuous rotating grid inside the instrument is broken and no longer rotates. The rotating scale circle is in good condition. The plastic window covering the window is in relatively good condition, with few marks. The cardboard label is bent but in good condition.",,"Stanley Manufacturing Co. Limited, Toronto, Canada","c. 1939-1946","This artifact was purchased as surplus following WWII and may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory, possibly as a slide rule. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"Department of Astronomy &amp;amp; Astrophysics","In storage","Victoria Fisher",1,0,2019-10-11,2019-12-09,"It is likely that the instrument was not used much following its 1945 overhaul, suggesting use at the Department of Astronomy was not very significant.",,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13323,pending
"Dalton Dead Reckoning Computer Model G","This is a metal instrument shaped like a rectangular box. On the top, it has a flat metal plate that is affixed to the box below by a hinge along one edge. When flapped down, this plate sits horizontally over the top of the box. On the plate, there is a circular metal disk with a non-linear scale around the rim, labelled in ""Minutes"" and ""Km Minutes"". There is a circular scale on the metal plate around the edge of the disk; this is labelled in ""True Alt."" ""Miles"" and ""True A.S."". On the interior of the disk, there are two arc-shaped holes each with short scales drawn on the disk above or below the arc. These scales permit conversion from ""Air Temp. Centigrade"" to ""Ind. Height Thousand Feet"" and the reverse.

This plate flaps up to reveal the rectangular box-shaped instrument underneath. It consists of a top metal plate with a circular hole in it. This is covered by a plastic window. Visible through the window there is a red grid pattern printed on a paper or fabric sheet. This can be moved up and down along its x-axis by turning a ridged knob on one side of the box. Around the edge of the window on a silver-coloured circular rim there is a scale graduated in degrees, and with cardinal directions indicated. This rim can be rotated by turning a ridged metal handle on one side of the box. 

On one edge of this rotating disk, there is an arc-shaped section with a scale along the bottom edge, graduated in units from 0 in the centre to 40 on each side. One side of this is labelled ""Drift Port Var. East"" and the other ""Var. West Drift Strbd"". In the centre of this arc, pointing towards the rotating circle there is an indicator arrow labelled ""True Course"".

Attached to one side of the box there is a hollow cylindrical tube. On the underside of the flat top, there are two plastic rods for holding something flat.

Lying loose between the top plate and the rotating circle, although attached to the instrument by a loop of cotton string, there is a brown card tag, with a reinforced hole punched at one end. The tag is two-sided and has spaces for information about the instrument and, on the other side, its calibration. The information side has been filled out by hand.

On the rear, there are four round holes in the backplate. Through them, the internal rolling grid is visible.

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ast.190,"MPL-A 1.D.7",,,0,"Metal: Iron Alloy, Metal: Aluminum, Card, Textile (Grid).","Engraved and enamelled on the lid: ""I.C.A.N.
CALIBRATION""

Engraved and enamelled next to the grid window: ""DALTON DEAD RECKONING COMPUTER
MODEL G
STANLEY MANUFACTURING CO. LIMITED
TORONTO, CANADA""

Printed and written on the cardboard label: ""SERVICEABLE S
SECTION 6B REF. NO. PT. NO. 425 TO
DESCRIPTION Dalton G
#XY4840
FROM...
DATE 7 Feb 45 SGD J. Wilson Sgt. AID.
R.C.A.F. E33
1000M 11-43 (3654)
H.Q. 885-E-33""

On the rear of this label: ""REMARKS:
R.V. No....
C.V. No.... DATE:......""


On the base: ""X.Y.4840""","Height = 3.5, Width = 16, Length = 16.","The Dalton Dead Reckoning Computer is a mechanical calculator designed to aid with flight planning, including (according to the Wikipedia page on the similar &amp;lt;a href=""https://en.wikipedia.org/wiki/E6B""&amp;gt;E6B&amp;lt;/a&amp;gt;) ""fuel burn, wind correction, time en route, and other items.""","Good: The instrument's surface shows some evidence of use in the form of chipped paint, particularly on the edges and corners of the base of the instrument, and a large number of small scratches on the lid of the instrument. The raised sections at the end of the cut-out arc scales on the lid are missing.

The knobs that operate the rotating circle scale and continuous scrolling grid are functional, although the rotating circle is stiff. The surface of the circle and the surrounding paint is dulled and dirty, perhaps slightly oxidized. The plastic window covering the grid is dirty and scratched in places.

The tag is bent across the middle, but otherwise in good condition.",,"Stanley Manufacturing Co. Limited, Toronto, Canada","c. 1939-1946","This artifact was purchased as surplus following WWII and may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory, possibly as a slide rule. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"Department of Astronomy &amp;amp; Astrophysics","In storage","Victoria Fisher",1,0,2019-09-11,2019-12-09,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13324,pending
"Dalton Dead Reckoning Computer Model G","This is a metal instrument shaped like a rectangular box. On the top, it has a flat metal plate that is affixed to the box below by a hinge along one edge. When flapped down, this plate sits horizontally over the top of the box. On the plate, there is a circular metal disk with a non-linear scale around the rim, labelled in ""Minutes"" and ""Km Minutes"". There is a circular scale on the metal plate around the edge of the disk; this is labelled in ""True Alt."" ""Miles"" and ""True A.S."". On the interior of the disk, there are two arc-shaped holes each with short scales drawn on the disk above or below the arc. The ends of these have a small raised section, to allow a better grip for the disk, which can be rotated around a central pin. These permit conversion from ""Air Temp. Centigrade"" to ""Ind. Height Thousand Feet"" and the reverse.

This plate flaps up to reveal the rectangular box-shaped instrument underneath. It consists of a top metal plate with a circular hole in it. This is covered by a plastic window. Visible through the window there is a red grid pattern printed on a paper or fabric sheet. This can be moved up and down along its x-axis by turning a ridged knob on one side of the box. Around the edge of the window on a silver-coloured circular rim there is a scale graduated in degrees, and with cardinal directions indicated. This rim can be rotated by turning a ridged metal handle on one side of the box.

On one edge of this rotating disk, there is an arc-shaped section with a scale along the bottom edge, graduated in units from 0 in the centre to 40 on each side. One side of this is labelled ""Drift Port Var. East"" and the other ""Var. West Drift Strbd"". In the centre of this arc, pointing towards the rotating circle there is an indicator arrow labelled ""True Course"".

Attached to one side of the box there is a hollow cylindrical tube. On the underside of the flat top, there are two plastic rods for into which is tucked a brown card tag, with a reinforced hole punched at one end. The tag is two-sided and has spaces for information about the instrument and, on the other side, its calibration. The information side has been filled out by hand.

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ast.191,"MPL-A 1.D.7",,,0,"Metal: Iron Alloy, Metal: Aluminum, Card, Textile (Rolling Grid).","Engraved and enamelled on the lid: ""I.C.A.N.
CALIBRATION""

Engraved and enamelled next to the grid window: ""DALTON DEAD RECKONING COMPUTER
MODEL G
STANLEY MANUFACTURING CO. LIMITED
TORONTO, CANADA""

Printed/written on the paper label: ""RETAIN THIS TAG""
""Section Ref….6-13 No….425 Part. No…. 
Description…Computor[?] Navigation
Serial No…. O'Hauled by…
Unit…I-E D Date…17/10/46 Remarks…Visual Inspection
Certified Serviceable… Date…""
""R.C.A.F.- W H
300M-10-42(2841)
H.Q.--885 - W 11""

""To be used with all instruments, etc.
subject to calibration or checking before issue.
Ensure all information required is entered.""

Stamped over this: ""R.C.A.F.
↑
581""

“TO BE WITH ARTICLE
RETURNED AT OVERHAUL”
“Running Time Since New”
“CALIBRATION”
""Running Time Since O'Haul...
Installed in... Date...
Returned for O'Haul... Reason...
Unit...
Signature and Rank...""

On the rear: ""X.Y.8062""

Scratched into the paint on the rear: ""↑RCAF""","Height = 4, Width = 14.8, Length = 16.6.","The Dalton Dead Reckoning Computer is a mechanical calculator designed to aid with flight planning, including (according to the Wikipedia page on the similar &amp;lt;a href=""https://en.wikipedia.org/wiki/E6B""&amp;gt;E6B&amp;lt;/a&amp;gt;) ""fuel burn, wind correction, time en route, and other items.""","Good: The instrument's surface some significant evidence of use in the form of scratches across the surfaces, especially the top and bottom. The black paint is chipped and worn off parts of the lower part of the box, particularly on the edges and corners. On the top, there is a large dent at the end of the lid. The hinges of the lid are rusty but functional.

The continuous rotating grid inside the instrument operates, as does the knob that rotates the circular scale disk. The plastic window covering it is scratched on the surface and has a pencil line drawn on it. The cardboard label is bent but in good condition.",,"Stanley Manufacturing Co. Limited, Toronto, Canada","c. 1939-1946","This artifact was purchased as surplus following WWII and may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory, possibly as a slide rule. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"Department of Astronomy &amp;amp; Astrophysics","In storage",,1,0,2019-10-08,2019-12-09,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13325,pending
"Tonsil Knife","

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ihpst.80,MPL,,,0,"Iron Alloy","Etching on neck near handle: ""J. F. Ha""

Etching on revers side of neck near handle (3 nondescript shapes)

Etching on handle near neck: ""GERMANY""","Width = 1, Length = 18","Cutting or removing tonsil. Surgical service Ear Nose Throat (ENT).","Good: Some tarnishing on the neck and blade of the instrument.",,"J. F. Hartz Co.",,"Surgical instruments belong to Eli Irvine. Dr. Irving practiced medicine in Western Ontario. Upon his retirement in 1930, Dr. Irving gave the instruments to his partner Dr. William Cameron. In 1995 the surgical instruments were donated to IHPST by Dr. Cameron's son.",,,IHPST,"In Storage","S. Lavigne",0,0,2019-04-02,2019-04-02,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13387,draft
"Sickle Knife","

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ihpst.81,MPL,,,0,"Iron Alloy","Etching on neck near handle: ""CHROME""
Etching on handle: ""GERMANY""
Etching on reverse side of neck near handle: ""THE J. F. HARTZ CO""
Etching on reverse side of handle near neck: logo of a serpent coiled around a scepter with a crown above them.","Width = 1, Length = 20",,"Good: minor tarnishing on neck and blade.",,"J. F. Hartz Co.",,"Surgical instruments belong to Eli Irvine. Dr. Irving practiced medicine in Western Ontario. Upon his retirement in 1930, Dr. Irving gave the instruments to his partner Dr. William Cameron. In 1995 the surgical instruments were donated to IHPST by Dr. Cameron's son.",,,IHPST,"In Storage","S. Lavigne",0,0,2019-04-02,2019-04-02,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13388,draft
"Double Ended Tonsil Knife","

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ihpst.82,MPL,,,0,"Iron Alloy","Etching on handle: logo of a serpent coiled around a scepter with a crown above them placed above ""THE J. F. HARTZ CO""
Etching on reverse side of handle: ""GERMANY""","Width = 1, Length = 18.5",,"Good: some tarnishing on handle, neck, and blades.",,"J. F. Hartz Co.",,"Surgical instruments belong to Eli Irvine. Dr. Irving practiced medicine in Western Ontario. Upon his retirement in 1930, Dr. Irving gave the instruments to his partner Dr. William Cameron. In 1995 the surgical instruments were donated to IHPST by Dr. Cameron's son.",,,IHPST,"In Storage","S. Lavigne",0,0,2019-04-02,2019-04-02,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13389,draft
"#3 Trumpet Suction","

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ihpst.83,MPL,,,0,"Iron Alloy","Etching on widest end: ""P.S M Co""
Etching on reverse side of widest end: ""3""","Width = 0.5, Length = 15.5",,"Very Good: very minimal tarnishing",,"PSM Co.",,"Surgical instruments belong to Eli Irvine. Dr. Irving practiced medicine in Western Ontario. Upon his retirement in 1930, Dr. Irving gave the instruments to his partner Dr. William Cameron. In 1995 the surgical instruments were donated to IHPST by Dr. Cameron's son.",,,IHPST,"In Storage","S. Lavigne",0,0,2019-04-02,2019-04-02,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13390,draft
"Ball Tip Probe","<!-- wp:paragraph -->
<p>The artifact is a thin shaft of metal - a small sphere of metal twice the width of the shaft is attached to one end. The other end is broken off.</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->


<!-- wp:wp-museum/child-objects-block /-->
",2019.ihpst.84,MPL,,,0,"Iron Alloy",,"Width = 0.2, Length = 18",,"Fair: broken tip, original length unknown, minimal rust and tarnish on shaft of probe",,,,"Surgical instruments belong to Eli Irvine. Dr. Irving practiced medicine in Western Ontario. Upon his retirement in 1930, Dr. Irving gave the instruments to his partner Dr. William Cameron. In 1995 the surgical instruments were donated to IHPST by Dr. Cameron's son.",,,IHPST,"In Storage","S. Lavigne",0,0,2019-04-02,2019-04-02,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=13391,draft
